"","tweet_id"
"1","1000619321775796225"
"2","1002160938269773830"
"3","1003986917799669760"
"4","1004558633798176768"
"5","1005783018831794178"
"6","1006097560543682560"
"7","1006935974960680960"
"8","1009478620727926784"
"9","1012567602999197696"
"10","1013761891682922496"
"11","1020766627363602432"
"12","1020731911705161729"
"13","1020723997976260610"
"14","1020723258566619137"
"15","1020823237092151296"
"16","1022081250956333062"
"17","1022299233733541888"
"18","1022737484206227456"
"19","1022958025139736576"
"20","1023851103773970432"
"21","1024213087828803584"
"22","1024385439719940097"
"23","1024587370400833536"
"24","1024664818731692034"
"25","1025326322338414592"
"26","1025419791635542017"
"27","1026340398325792768"
"28","1026320053422182401"
"29","1026381006998302721"
"30","1027081602155855872"
"31","1028169455682105344"
"32","1028592822902050816"
"33","1029224871769894912"
"34","1029144332761219072"
"35","1029129204020011009"
"36","1029242477390258176"
"37","1029300359267803138"
"38","1029606054382977025"
"39","1029636308283445248"
"40","1029666507385495552"
"41","1029696706722582528"
"42","1029726905358942209"
"43","1029757105044119552"
"44","1031939386114490368"
"45","1031905406984044544"
"46","1037356093171806209"
"47","1038398062669049857"
"48","1038431778518822914"
"49","1039154721662148609"
"50","1039148952430497793"
"51","1039249701042827265"
"52","1039408083146076160"
"53","1039730105633964033"
"54","1039687595985436673"
"55","1039823487597199360"
"56","1040671169282752512"
"57","1040946210184552449"
"58","1044605450455580677"
"59","1045018195827077120"
"60","1045757362869596160"
"61","1047949056964775936"
"62","1048443870982361088"
"63","1048564851147264006"
"64","1048559074042937345"
"65","1048652881346383872"
"66","1048840427825184768"
"67","1049294501557284864"
"68","1049293361612541953"
"69","1049582637696864257"
"70","1049577459744673793"
"71","1049660004700213249"
"72","1049883939144433665"
"73","1049908682287394817"
"74","1051362981127294977"
"75","1052551284354637824"
"76","1052670177723203588"
"77","1052948152976859136"
"78","1054255386520379392"
"79","1054292400196251648"
"80","1057279221649850368"
"81","1063011750407270401"
"82","1064086976121503744"
"83","1064807655775117312"
"84","1064800504063107072"
"85","1065167662269947904"
"86","1065588967217799168"
"87","1065663856079450113"
"88","1065648056140476418"
"89","1065683209680289796"
"90","1066273721722142720"
"91","1066366883618803712"
"92","1066364521411985408"
"93","1066356872259751936"
"94","1067356586816036864"
"95","1067635444836442114"
"96","1067665643246280704"
"97","1067816638727299072"
"98","1068051324661628930"
"99","1068367276200595456"
"100","1069550964166795264"
"101","1070041297736622080"
"102","1072100309143576581"
"103","1072194254406119427"
"104","1072784385903132673"
"105","1073619774347927554"
"106","1073682815173189633"
"107","1073758301370941441"
"108","1074270275880013824"
"109","1074557754180812800"
"110","1074689355606867968"
"111","1074738498509398016"
"112","1074767459238993920"
"113","1075348013713895424"
"114","1076156065820143616"
"115","1077935856969830402"
"116","1078424841190019072"
"117","1085862800193253380"
"118","1085985109419778050"
"119","1086292828534308864"
"120","1086416710385713157"
"121","1086356318208880640"
"122","1086587703322382337"
"123","1087038136553820160"
"124","1087978997101854722"
"125","1088374700122742784"
"126","1091032132150087680"
"127","1091225002245017600"
"128","1091428957944270848"
"129","1091622083145224192"
"130","1091926847477174272"
"131","1092120535658463232"
"132","1093456669558882306"
"133","1096037898930061312"
"134","1096274266939711489"
"135","1096323537600684032"
"136","1097002737806528512"
"137","1097021651647115265"
"138","1097119581594886144"
"139","1097159822422634497"
"140","1097426074596765696"
"141","1097818406483578880"
"142","1097946421297172481"
"143","1100339064572731392"
"144","1100490690570608640"
"145","1101087845157097473"
"146","1101379790928523265"
"147","1101648313625899009"
"148","1101717595181510656"
"149","1101910038728376320"
"150","1105745001064083456"
"151","1105932538520977408"
"152","1106414177260879872"
"153","1106491989623754754"
"154","1106520501852258304"
"155","1106516770926612485"
"156","1106618715175555072"
"157","1106862407832485888"
"158","1107164756887171072"
"159","1107350889470124032"
"160","1108641217166872578"
"161","1108621925042012160"
"162","1108647774109777921"
"163","1108806589039955968"
"164","1111243905574621186"
"165","1111354649192337409"
"166","1111512446014013440"
"167","1111570852548673536"
"168","1112691593163796482"
"169","1113082698908794880"
"170","1116609423705722881"
"171","1116688076485668866"
"172","1116702336922025984"
"173","1116750829023891456"
"174","1116777100508377089"
"175","1118405200275038208"
"176","1118833199537381378"
"177","1118884462585110530"
"178","1119233868014526464"
"179","1119233865263001601"
"180","1120953453172408320"
"181","1121357915808567296"
"182","1122038296597663744"
"183","1124837373504888834"
"184","1124897771285250048"
"185","1124954409560084480"
"186","1126774185198477312"
"187","1126807867586224130"
"188","1126833322645127169"
"189","1126913563958886400"
"190","1126912303889305601"
"191","1127134226980143104"
"192","1127594278589542400"
"193","1127829008660430849"
"194","1128190241901121536"
